COD_CATALO,CATEGORIA,LATITUD,LONGITUD,ALTITUD,FECHA_INST
31090010,PM,3.957639,-67.835333,92,6/15/1983
31095010,CP,3.867667,-67.931694,100,11/15/1972
32060030,PM,3.790722,-73.842778,600,1/15/1969
32060060,PM,3.742333,-73.834694,800,7/15/1978
32070010,PM,3.2,-73.75,260,9/15/1979
32070020,PM,3.25,-73.516667,240,9/15/1979
32070030,PM,3.316389,-73.892167,500,9/15/1979
32070040,PM,2.983333,-73.633333,245,9/15/1978
32070060,PM,3.466667,-73.633333,300,7/15/1979
32070080,PM,3.0875,-73.226389,191,6/15/1983
32070100,PM,3.375083,-73.891944,410,12/15/1983
32070110,PM,3.472028,-73.857833,520,4/15/1989
32075030,CO,3.120389,-73.754028,325,4/15/1969
32075040,CO,3.516333,-73.716028,360,11/15/1978
32075080,CO,3.267694,-73.373194,245,10/15/1990
32080010,PM,2.943333,-73.209722,230,8/15/1979
32090010,PM,2.889722,-72.130111,158,6/15/1983
32105070,CO,2.553028,-72.647083,165,11/15/1983
32120010,PM,3.734083,-72.369778,168,12/15/1983
32150040,PM,3.423611,-69.893667,100,6/15/1983
32150050,PM,3.571667,-69.588056,98,6/15/1983
32150060,PM,3.670556,-69.360556,97,6/15/1983
32155010,CO,2.8,-70.533333,140,12/15/1983
32190010,PM,3.637139,-69.055306,96,6/15/1983
32200010,PM,3.988472,-68.324806,94,6/15/1983
33035010,CO,4.574417,-71.34075,200,5/15/1972
33050020,PM,4.516111,-69.605833,90,10/15/1983
33055010,CO,4.494722,-69.803333,167,7/15/1991
33060010,PM,4.865889,-68.363833,87,12/15/1983
34015010,CP,4.553944,-70.930111,171,8/15/1967
34035010,CO,5.353139,-67.85825,167,5/15/1972
35010010,PM,4.105028,-72.9365,182,9/15/1960
35010020,PM,3.994639,-73.765583,525,4/15/1961
35010040,PM,3.924222,-73.814583,800,11/15/1968
35010060,PM,3.786667,-73.400556,230,5/15/1978
35010070,PM,3.878333,-73.758611,525,4/15/1978
35010080,PM,3.793889,-73.149722,200,5/15/1978
35010090,PM,3.750278,-73.700833,420,8/15/1978
35010150,PM,3.883333,-73.34,275,1/15/1994
35010230,PM,3.984639,-72.971222,183,6/15/1983
35015050,CO,3.630778,-73.349278,250,5/15/1992
35020060,PM,4.03975,-73.368,260,11/15/1978
35025020,CP,4.057361,-73.467917,336,4/15/1968
35030030,PG,4.127361,-73.639556,425,8/15/1984
35030040,PG,4.163639,-73.647722,550,2/15/1986
35030050,PM,4.091139,-73.448778,300,7/15/1978
35030100,PG,4.15,-73.633333,470,8/15/1993
35035010,SS,4.077111,-73.559917,400,10/15/1972
35035020,SP,4.161919,-73.617578,422,10/15/1924
35035070,CP,4.076722,-73.582,340,10/15/1983
35045020,CO,4.300444,-73.3575,305,5/15/1979
35050010,PM,4.506556,-73.347083,480,9/15/1969
35050020,PM,4.423222,-73.395972,426,7/15/1968
35055010,CO,4.376972,-73.301306,280,4/15/1968
35070170,PM,4.733333,-73.2,400,9/15/1972
35090040,PM,4.904944,-73.047611,390,4/15/1981
35090110,PM,4.747778,-72.997222,300,6/15/1993
35095110,CP,4.655083,-72.917333,255,9/15/1994
35100020,PM,4.283722,-72.792833,180,6/15/1968
35105050,CO,4.468667,-72.953583,190,10/15/1993
35120010,PM,4.311389,-72.076639,150,1/15/1963
35125010,CO,4.340556,-72.156361,150,5/15/1976
35130010,PM,3.956083,-72.765722,225,4/15/1975
35180010,PM,4.937361,-72.665889,180,11/15/1974
35180030,PM,4.327722,-72.391444,155,6/15/1983
35180040,PM,4.441833,-72.152389,147,6/15/1983
35180050,PM,4.418278,-71.960806,142,6/15/1983
35190040,PM,5.009528,-72.544056,290,11/15/1974
35190050,PM,5.302944,-72.701944,842,11/15/1957
35190070,PM,5.091917,-72.458583,190,11/15/1974
35195020,CO,5.027258,-72.869841,460,11/15/1974
35195030,CO,5.177083,-72.547389,380,1/15/1974
35210010,PM,5.453056,-72.45625,656,11/15/1974
35210040,PG,5.41325,-72.298306,330,11/15/1995
35210050,PG,5.491889,-72.229361,395,11/15/1995
35210060,PG,5.609111,-72.067806,345,11/15/1995
35215010,CP,5.320444,-72.3875,325,11/15/1974
35220030,PG,4.793278,-71.329111,130,4/15/1981
35220040,PM,4.908167,-71.531389,117,6/15/1983
35225020,CO,4.910472,-71.433056,130,4/15/1981
35230010,PM,5.4205,-71.728056,170,11/15/1974
35230020,PM,5.726139,-71.992889,300,9/15/1990
35230030,PG,5.747194,-72.103,350,10/15/1960
35230040,PG,5.634389,-72.002639,320,11/15/1995
35235020,CO,5.820502,-72.165323,1200,11/15/1995
35235030,CP,5.419028,-71.666167,265,11/15/1995
35250010,PM,6.095611,-69.423417,82,6/15/1983
35250020,PM,6.176611,-69.127806,76,6/15/1983
35250030,PM,6.145722,-68.777583,73,6/15/1983
35250040,PM,6.175417,-68.394361,67,6/15/1983
35260010,PM,5.143306,-70.8545,112,6/15/1983
35260020,PM,5.270833,-70.705583,108,6/15/1983
35260030,PM,5.351944,-70.678278,106,6/15/1983
35260050,PM,5.561361,-70.280639,95,6/15/1983
35260070,PM,5.791944,-69.987139,92,6/15/1983
35260080,PM,6.010306,-69.843889,89,6/15/1983
36010020,PG,5.900003,-72.004167,500,11/15/1995
36010030,PG,5.93425,-71.833917,350,11/15/1995
36015010,CP,5.878528,-71.887194,342,9/15/1995
36020010,PM,6.088222,-72.190639,1020,2/15/1984
36020020,PM,6.127917,-72.010222,575,2/15/1984
36020030,PM,6.234889,-71.9755,860,2/15/1984
36025010,CO,6.456194,-71.745028,350,2/15/1985
36030020,PM,6.041778,-69.63875,87,6/15/1983
36030030,PM,6.570639,-71.707639,300,12/15/1982
37050010,PM,7.037222,-71.419722,100,6/15/1972
37050040,PM,6.974167,-70.851667,150,5/15/1983
37050050,PM,6.940278,-70.265556,100,5/15/1983
37055010,SP,7.069444,-70.738056,128,5/15/1950
38010030,PM,5.682778,-67.640278,70,4/15/1984
38015030,SP,6.182436,-67.491222,57,6/15/1972
38020020,PM,4.956944,-67.834167,79,2/15/1984
38030010,PM,4.546056,-67.859028,88,12/15/1983
